PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
hzM1v,6rk/pb4r1/1p2p2p/3pR3/2pP1qP1/2P2p1P/PPQ2P1K/1B2R3 w - - 2 31,h2g1 f4g4 h3g4 g7g4 g1f1 g4g1,2759,99,88,186,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/KxQ0In87#61,
lrjUw,r3r3/ppp3pp/3pN3/n2P1k2/6n1/5Q2/P4P2/q1B1R1K1 b - - 1 25,f5g6 e6f8 e8f8 f3g4 g6f7 g4e6,2757,112,95,6596,dovetailMate exposedKing long mate mateIn3 middlegame,https://lichess.org/4wJBxlvz/black#50,
JlhRe,8/P5k1/3r4/5p2/1P3P1p/RR2P1Pp/4K2r/8 w - - 4 45,e2f3 d6g6 g3g4 g6g4 e3e4 g4g3,2755,94,87,297,endgame long mate mateIn3 rookEndgame,https://lichess.org/ct1jCpaq#89,
ApmaF,r2b1rk1/6pp/1pR5/pQ1Pp3/4P3/P1R1NN1P/1P2nqPK/8 w - - 9 31,c3c2 f8f3 c2e2 f3h3 h2h3 f2h4,2749,85,88,526,attraction long mate mateIn3 middlegame pin sacrifice,https://lichess.org/J13PjXWc#61,
Jw826,8/p3R2p/1p4pk/8/5NPP/3p2K1/r1n5/8 b - - 1 39,g6g5 h4g5 h6g5 e7e6 d3d2 f4h3,2744,94,87,555,endgame long mate mateIn3,https://lichess.org/lwrsxvW7/black#78,
qjHPZ,rn1r4/2b1kp2/p1q1pNp1/1p1pP3/4NP1Q/P7/1PP3PP/3R2K1 b - - 1 27,d5e4 d1d7 b8d7 f6d5 e7f8 h4h8,2741,93,88,101,doubleCheck long mate mateIn3 middlegame sacrifice,https://lichess.org/BRc8Tr78/black#54,
IeUqw,3k1r2/ppp3Qp/4Rn2/2brN3/5P2/5K2/q5PP/4R3 b - - 2 29,f6h5 e6d6 d5d6 g7f8,2734,97,88,584,interference mate mateIn2 middlegame short,https://lichess.org/Cy3KNelL/black#58,
Ez6GI,r1b1k2r/pp3ppp/4p3/2bpPn2/8/5N1P/Pq1BQPP1/RN2KB1R w KQkq - 2 12,d2c3 b2c1 e2d1 c5f2 e1f2 c1e3,2732,103,91,4193,attackingF2F7 attraction deflection long mate mateIn3 middlegame sacrifice,https://lichess.org/fwn5qcxZ#23,French_Defense French_Defense_Advance_Variation
aBDCo,5r2/2Q1n2k/p2p2p1/P3prqp/1PN5/2PPP2P/6PK/R6R w - - 1 25,c4d6 g5g2 h2g2 f5g5 g2h2 f8f2,2720,100,94,3321,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/MROpibqT#49,
woUnQ,8/2N1bk1R/1N4p1/p3p3/2K1P3/3P2n1/Prp5/8 b - - 1 40,f7f6 b6d7 f6g5 c7e6 g5g4 d7e5,2719,111,91,1782,endgame long mate mateIn3,https://lichess.org/nTY6gixu/black#80,
YBN2H,3k3r/pp1P2p1/6p1/P1Pp4/5q2/3B3r/2Q2PP1/R4RK1 w - - 1 24,g2h3 f4g5 g1h2 g5g4 f2f3 h8h3,2712,95,95,2842,endgame long mate mateIn3 pin,https://lichess.org/nWcQ44kR#47,
XGpvl,6R1/1pNr4/k6p/2P4q/1p2Q3/1Pb5/P3p3/1K6 b - - 7 47,d7c7 e4e6 c7c6 g8a8 a6b5 e6c4,2705,112,90,706,endgame exposedKing long master mate mateIn3 pin,https://lichess.org/OHODmJoC/black#94,
6psXs,r1q4r/pbpR1pkp/1p2pNp1/5nQ1/2P2P2/8/PP2B1PP/5RK1 b - - 6 22,h7h6 g5g6 g7g6 e2h5 g6g7 d7f7,2701,92,91,1525,attraction long mate mateIn3 middlegame pin sacrifice,https://lichess.org/iUjZnhWt/black#44,
P5iM4,r3rnk1/3qb3/p2p1nBQ/1p1b2N1/3B4/P1p5/1P4PP/R4RK1 b - - 4 23,d7g4 g6h7 f8h7 h6g6 g8h8 g6h7,2701,92,91,521,clearance exposedKing kingsideAttack long mate mateIn3 middlegame pin sacrifice,https://lichess.org/TkofgJ19/black#46,
3kL4P,8/5pQ1/6p1/6k1/4q2p/6P1/5P1P/6K1 w - - 0 44,g7f7 e4b1 g1g2 h4h3 g2h3 b1f1,2698,107,88,1131,attraction endgame long mate mateIn3 queenEndgame,https://lichess.org/tN2a3tk1#87,
NFjWO,7r/1p2kp1p/2p1pp2/pPP5/P2Pp3/4P2q/1QN5/R4R1K w - - 2 26,h1g1 h3g3 g1h1 g3h4 h1g1 h8g8,2697,107,90,1292,endgame exposedKing kingsideAttack long mate mateIn3,https://lichess.org/elD7HrS8#51,
Npwv9,3k3N/ppp3pp/2n5/2bp1B2/8/4pKP1/PPPN3q/R1BQ4 w - - 1 20,d2b3 c6e5 f3f4 h2h6 f4e5 h6d6,2697,101,93,596,long mate mateIn3 middlegame sacrifice,https://lichess.org/3W61HXU3#39,
TlX1V,8/5p1k/6pp/3pq3/6K1/6P1/5Q1P/q2R4 w - - 0 38,d1a1 e5e6 g4h4 g6g5 h4h5 e6h3,2696,97,91,1030,endgame long mate mateIn3,https://lichess.org/rP8ar1a5#75,
WVaZM,1rbk1br1/3pn2p/p2N1qp1/1pQ3p1/8/3R4/PPP2PPP/4R1K1 b - - 1 23,e7c6 c5b6 b8b6 e1e8 d8c7 e8c8,2693,99,91,630,long master mate mateIn3 middlegame sacrifice,https://lichess.org/0JFpnRJh/black#46,
kHvXu,r2bR3/pp1b1pk1/2p1np1p/3p1N2/3P4/P1NB3P/1PP2PP1/6K1 b - - 5 21,g7h7 f5g3 f6f5 d3f5 h7g7 g3h5,2693,93,88,169,discoveredAttack long mate mateIn3 middlegame,https://lichess.org/mI8h1Otf/black#42,
n9BaM,8/7P/2p5/1k2PR2/2p2P2/2K3R1/1Pr1r3/8 w - - 1 37,c3d4 c2d2 d4c3 c6c5 b2b3 d2c2,2688,86,84,317,endgame long mate mateIn3 quietMove rookEndgame,https://lichess.org/i5CQmVBn#73,
2W5D8,8/1R1Q3p/8/3P4/2P4P/4q3/P5PK/2k1r3 w - - 3 54,d7h7 e3e5 g2g3 e5e2 h2h3 e1h1,2687,89,86,157,endgame long mate mateIn3,https://lichess.org/FZcIlbsu#107,
ODYXk,8/6Rp/p3rp2/7k/6P1/bp2B3/5PK1/8 b - - 0 40,h5h4 e3f4 a3d6 f4g3 d6g3 f2g3,2686,103,89,1091,endgame long mate mateIn3 quietMove,https://lichess.org/HGVDQQ3E/black#80,
gTfY3,4rk1r/pp1n1ppp/2p2N2/8/2B5/q2P1R2/P1P1Q1PP/4R2K b - - 0 17,d7f6 e2e8 f6e8 f3f7 f8g8 f7f3,2685,91,84,339,discoveredAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/5juRSBxe/black#34,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense
q6td5,1r6/4Q2p/6pk/3R1p2/4p3/2P1P1bP/PP4Pq/1R3K2 w - - 9 35,d5f5 h2h1 f1e2 b8b2 b1b2 h1e1,2683,90,91,1727,endgame long mate mateIn3 sacrifice,https://lichess.org/WJ293lXB#69,
e3phd,r6k/1p3p1P/4p1p1/r2NQ1B1/1b6/8/P1p2PP1/1qR3K1 b - - 2 39,h8h7 d5f6 h7h8 e5h2 h8g7 h2h6,2683,87,88,624,long mate mateIn3 middlegame,https://lichess.org/Zy6DstDP/black#78,
WUMyk,r5k1/1b1p1p1p/1q1p1Qp1/2pP2N1/2n5/1P6/P4PPP/4R1K1 b - - 1 23,a8f8 g5f7 f8f7 e1e8 f7f8 f6f8,2682,85,86,475,kingsideAttack long master mate mateIn3 middlegame sacrifice,https://lichess.org/uzfJGrsN/black#46,
Knfcz,5rk1/2p1Qpb1/p1B1p1R1/q2p4/P2P1B1p/4Pb2/2r4P/1R3K2 b - - 0 28,a5d2 e7f8 g8f8 b1b8 f8e7 b8e8,2680,97,93,2416,attraction kingsideAttack long mate mateIn3 middlegame pin sacrifice,https://lichess.org/91ZSpPYj/black#56,
3FXTa,r3k2r/1bR2pp1/7p/1p5q/8/4PN2/5PPP/3Q1RK1 b kq - 0 19,b7f3 d1d6 h5g5 d6d7 e8f8 d7f7,2680,103,91,1558,long mate mateIn3 middlegame,https://lichess.org/1sqK0eHi/black#38,English_Opening English_Opening_Anglo-Scandinavian_Defense
BqIaV,6k1/pb4pp/1p2q1n1/3pPP1Q/3P3B/1P3p1P/P1r4K/R6R w - - 1 26,h2g3 e6e5 d4e5 c2g2 g3f3 d5d4,2678,110,91,677,discoveredAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/dKxrQ27H#51,
Bt4UH,r1b1k3/ppp2p1Q/2n3p1/3p4/1b2P1B1/2KP3N/PPP2q1P/RNB4R w q - 2 16,c3b3 f2c2 b3c2 c6d4 c2d1 c8g4,2677,102,90,1014,attraction exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/XR0NKvBI#31,Kings_Pawn_Game Kings_Pawn_Game_Wayward_Queen_Attack
wtI8U,r2k3r/pp1b2pp/8/2p3N1/5Bn1/2Q5/PP3PP1/3qR1K1 b - - 1 23,d1d4 c3a5 b7b6 g5f7 d8c8 a5a6,2677,95,93,1498,exposedKing fork long mate mateIn3 middlegame,https://lichess.org/wj9MtMY8/black#46,
mLqIY,2b2k2/p1qr4/p4pr1/8/1P5P/P3Q1NK/6P1/4RR2 w - - 3 40,e3c5 d7e7 h3h2 c7g3 h2g1 g3g2,2674,86,88,947,discoveredAttack long mate mateIn3 middlegame,https://lichess.org/fectmPj9#79,
fmQqD,6k1/ppp1NpBp/1b1p2n1/3P2Q1/qP3PP1/P3r3/6KP/8 b - - 8 29,g8g7 g5h6 g7h8 e7g6 f7g6 h6f8,2668,92,91,1126,deflection endgame long mate mateIn3 pin,https://lichess.org/isby76gu/black#58,
8yh0y,7Q/r1k5/bNp1p3/p2pP2p/P2q3P/2R5/1P3PP1/6K1 b - - 0 34,c7b6 h8b8 a7b7 c3c6 b6c6 b8d6,2667,99,91,698,attraction endgame long master mate mateIn3 sacrifice,https://lichess.org/n0o9Rd5a/black#68,
fkRP1,r2qnr2/pp1b1kp1/4pp1P/4B2Q/3P4/3pP3/PP3P1P/R3K1R1 b Q - 3 19,f7e7 g1g7 e8g7 e5d6 e7d6 h5c5,2667,102,87,540,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/Hl1rJWgH/black#38,Queens_Pawn_Game Queens_Pawn_Game_Mason_Variation
6NjFF,7r/pp1r3p/3b4/3N4/3nB1kP/6P1/PP4K1/5R2 b - - 2 29,d6e5 f1f5 e5g3 d5f6 g4h4 f5h5,2666,87,92,537,fork long master mate mateIn3 middlegame sacrifice,https://lichess.org/j5vag8NJ/black#58,
5ahZ2,r1bq1rk1/pp3p1n/7p/2pN2bN/2BnQ3/3P4/PPP2PPP/R4RK1 b - - 2 14,f8e8 e4g6 f7g6 d5e7 g8h8 e7g6,2666,108,90,410,doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/URAbc4Jc/black#28,Sicilian_Defense Sicilian_Defense_Bowdler_Attack
9BHI3,8/Q1p1qkpp/8/8/2P1n1b1/3PK3/Pr4PP/R4B1R w - - 0 17,d3e4 e7g5 e3d4 g5d8 d4c3 d8d2,2664,81,68,233,long mate mateIn3 middlegame,https://lichess.org/RDhvkSoM#33,Scandinavian_Defense Scandinavian_Defense_Icelandic-Palme_Gambit
T9Gaa,7k/1p1r3p/8/5NQ1/p7/P1P5/b1q1KP1P/6R1 w - - 0 33,e2f1 c2d3 f1g2 a2d5 f2f3 d3f3,2663,92,93,3801,dovetailMate endgame long mate mateIn3,https://lichess.org/gVNBGEWu#65,
OpPOh,r5r1/ppp4Q/3qb3/3p4/3P2kP/5R2/P3B1P1/5RK1 b - - 6 28,g8h8 f3b3,2662,94,91,3279,discoveredAttack mate mateIn1 middlegame oneMove,https://lichess.org/bH9t6WEA/black#56,
KTthU,2kr4/R5p1/1pp5/5P2/4Q1P1/2PqBK1r/1P6/5R2 w - - 1 28,f3f4 d3d6 e4e5 d6h6 g4g5 h6h4,2662,83,90,660,long mate mateIn3 middlegame,https://lichess.org/79MTBhSs#55,
pxP7q,r1bk1n2/1p2pQ2/pn3p2/3P4/2q5/8/PpP2PPP/1K1RR3 b - - 1 22,c8f5 f7e7 d8c8 e7e8 c8c7 d5d6,2661,87,91,1399,fork long mate mateIn3 middlegame,https://lichess.org/pjypgcU1/black#44,
RQ5WV,5Nk1/4b1p1/1Q1p4/3Pp3/8/3q1P1b/PP1N1K1p/R3R3 w - - 2 29,f8g6 h2h1n e1h1 d3d2 f2g3 d2g2,2656,92,93,2598,advancedPawn long mate mateIn3 middlegame promotion underPromotion,https://lichess.org/jWnnRqhQ#57,
fKQgk,r6k/6pP/1p1ppn2/p2b3P/3P1Q2/2PK1N2/1q3P2/6RR w - - 1 29,h5h6 d5c4 d3c4 a8c8 c4d3 c8c3,2654,111,89,1340,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/oZFtrjcK#57,
PCu9F,r4bnr/5Rpp/2nqp3/3pN2k/P2PP3/3Q4/3B1PPP/4K2R b K - 2 18,c6e5 f7f5 e6f5 d3h3 h5g6 h3f5,2653,113,89,733,long mate mateIn3 middlegame sacrifice,https://lichess.org/IOsOCWSX/black#36,Slav_Defense Slav_Defense_Modern_Line
Jv3ox,4Q3/6p1/p1rR1p2/Pp3k1p/5P2/1p2K1P1/1P1r3P/8 b - - 0 32,c6d6 g3g4 f5g4 e8g6 g4h4 g6g3,2653,109,88,987,attraction endgame long mate mateIn3 queenRookEndgame,https://lichess.org/ZA3gzXxI/black#64,
3MF5J,2B5/8/8/8/5kQ1/3K4/1b6/7q b - - 3 58,f4e5 g4e6 e5f4 e6e3,2651,118,88,1158,endgame mate mateIn2 short,https://lichess.org/qnPWnORA/black#116,
WW6YG,2r4r/1pkpPQ2/p2pN2b/2q1n2B/4P2p/1R6/P1P3PP/7K b - - 2 31,d7e6 e7e8q e5f7 e8e7 c7b8 e7b7,2651,94,91,1107,advancedPawn discoveredAttack fork long mate mateIn3 middlegame promotion,https://lichess.org/pfv1xeV7/black#62,
JGztc,r2q3r/ppR2Q1p/3pn3/2bkpN2/8/3P4/1P4PP/3R3K b - - 3 26,d8c7 f5e7 c7e7 f7f3 e5e4 f3e4,2650,89,91,2797,clearance long mate mateIn3 middlegame sacrifice,https://lichess.org/Y9ucSQUq/black#52,
JLyaj,1Q6/6pk/p7/1P5p/5nK1/P2P4/BP3q1P/4R3 w - - 0 29,g4g5 f4h3 g5h5 f2f3 h5h4 g7g5,2648,97,88,1043,endgame long mate mateIn3,https://lichess.org/HJd7pler#57,
kcFH4,7r/r3Q2p/pk1RBp2/1p2q3/8/P3P3/1PP3PP/6K1 b - - 2 23,b6a5 e7c7 a7c7 b2b4 a5a4 d6a6,2648,104,87,565,deflection endgame long mate mateIn3 sacrifice,https://lichess.org/osPpk7Td/black#46,
1RFhl,2k4r/5p2/2p1p3/1p1nPp2/p2P1qP1/2P5/PP1QBB1r/R4RK1 w - - 13 31,d2f4 d5f4 e2f3 h2g2 f3g2 f4e2,2646,82,93,505,exposedKing kingsideAttack long mate mateIn3 middlegame,https://lichess.org/DvuZaW7a#61,
W2euK,2r1r2k/pR4bp/2Np2p1/3P2N1/4p1b1/2Q5/q1P3PP/5RK1 b - - 1 22,g7c3 f1f8 e8f8 b7h7 h8g8 c6e7,2641,115,88,642,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/raMxMfFh/black#44,
50lAk,1r1r2k1/pB3p1p/3Bb1p1/2Pn4/8/Q1R3P1/1P1KPP1P/1q4NR w - - 3 19,d6b8 b1d1 d2d1 d5e3 d1c1 d8d1,2638,93,93,376,attraction doubleCheck long mate mateIn3 middlegame sacrifice,https://lichess.org/sXaUnS7i#37,
GN21c,rr5k/3n1pR1/2pb1p2/q7/3P3P/1QP1B3/1P2NP2/1K4R1 w - - 1 24,b3f7 a5f5 b1c1 a8a1 c1d2 b8b2,2637,95,88,427,deflection long mate mateIn3 middlegame queensideAttack,https://lichess.org/5I1WwzGA#47,
QJX3j,7k/6p1/2p4p/P5q1/1B6/1P3Q1P/2P1rpK1/5R2 w - - 7 40,g2h2 g5g1 f1g1 f2f1n h2h1 e2h2,2637,96,92,3674,advancedPawn doubleCheck endgame long mate mateIn3 promotion sacrifice underPromotion,https://lichess.org/J7J7obAI#79,
GP7jM,r2qb1kr/1p2b2p/p3p2B/3pPp1Q/2pP4/2P5/PP3P1P/RN4RK b - - 7 18,e8g6 g1g6 g8f7 g6g1,2637,114,90,160,discoveredAttack kingsideAttack mate mateIn2 middlegame short,https://lichess.org/SCJUj3eI/black#36,French_Defense French_Defense_Advance_Variation
zWdty,5B2/6P1/8/1P1k4/P4p2/4p1r1/R7/4K3 w - - 1 46,b5b6 g3g1 e1e2 d5e4 a4a5 f4f3,2636,88,91,1421,endgame long mate mateIn3,https://lichess.org/dm3jtWS9#91,
ylbbr,5R2/1p2r1p1/p1b3p1/P2ppkP1/1P6/2P1PPB1/6K1/8 b - - 4 36,f5g5 g3f4 e5f4 e3f4 g5h6 f8h8,2634,97,89,466,endgame long mate mateIn3 sacrifice,https://lichess.org/hYuCXiUu/black#72,
fPFGh,r2b1rk1/5p1p/q1n1b2Q/p4P2/P7/1pP1B2P/1P3PP1/3RR1K1 b - - 0 29,e6f5 h6f8 g8f8 e3h6 f8g8 e1e8,2633,81,93,734,attraction kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/3FDTsXcs/black#58,
swTVj,3rkb1r/pQNb1ppp/4p3/3pN1n1/3P4/1KPB4/P5qP/R7 b k - 4 18,e8e7 b7b4 e7f6 e5d7 d8d7 c7e8,2633,112,90,469,deflection long mate mateIn3 middlegame,https://lichess.org/I23uCHgO/black#36,Queens_Pawn_Game Queens_Pawn_Game_London_System
Ab7Ym,r1b3nr/2ppk2p/p1p2p2/8/3P2Q1/P7/3BKPPP/7q b - - 3 17,e7d6 g4e4 h1h2 d2b4 c6c5 d4c5,2632,85,85,132,long mate mateIn3 middlegame,https://lichess.org/K1GkxeKP/black#34,Ruy_Lopez Ruy_Lopez_Exchange_Variation
eYpW8,6k1/p4Bb1/6P1/8/P1pq4/5Q1K/5r2/R1n5 b - - 0 31,g8f8 f3a3 d4d6 a3d6,2629,105,88,573,fork mate mateIn2 middlegame short,https://lichess.org/Vu2iPxrb/black#62,
RMxmd,5Q2/p7/P4p1k/2p3q1/2PpB2p/3P2Pb/7P/6K1 b - - 1 39,h6h5 f8e8 h5g4 e4f3 g4f3 e8e4,2628,93,94,1248,attraction endgame long mate mateIn3 sacrifice,https://lichess.org/ktlVYdqU/black#78,
oCDfH,3r4/pkp1nppp/1pn5/1K1bP3/5P2/2P5/PP4PP/R1B3NR w - - 4 17,g1f3 d5b3 a2b3 d8d5 b5a4 d5a5,2627,88,93,2068,clearance long mate mateIn3 middlegame sacrifice,https://lichess.org/NJ4th6t4#33,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
ET6Iu,1k6/1p4QR/pq1r1p2/3K4/2p2P2/2P1P1P1/6P1/8 w - - 0 36,d5e4 b6b1 e4f3 b1d1 f3f2 d6d2,2627,112,90,1397,endgame long mate mateIn3,https://lichess.org/KfyxMJof#71,
KV0Mh,rn1qkb1r/pp3pp1/5n2/1N2pP1p/2Qp4/1B6/PPP2PPP/R3K2R b KQkq - 1 13,d8e7 c4c8 e7d8 b3f7 e8f7 c8e6,2626,85,93,3451,attackingF2F7 attraction deflection discoveredAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/Q6mZmsEi/black#26,Sicilian_Defense Sicilian_Defense_French_Variation
4x6b6,8/pp1R1N1k/2n4p/8/5P2/7P/P5rr/4RK2 b - - 7 32,g2a2 f7h8 c6e7 e1e7 h7h8 d7d8,2625,103,86,376,discoveredAttack endgame long mate mateIn3,https://lichess.org/AtlswQFO/black#64,
mcit9,5b1r/pr2nRpp/2B1p3/k3P3/8/1P2B3/P4PPP/nN4K1 b - - 2 21,b7c7 f7f4 e7c6 f4a4 a5b5 b1c3,2625,79,74,137,long mate mateIn3 middlegame sacrifice,https://lichess.org/qW7ZYv1Q/black#42,
XGwZ5,5rk1/p5p1/2p3Qp/8/3B1qP1/2P2P2/PP2r1K1/R6R w - - 9 32,g2h3 f4h2 h1h2 f8f3 h3h4 e2h2,2623,101,91,185,deflection discoveredAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/UB8MWgS9#63,
8ENVm,r4b1r/p5pp/5n2/2p5/8/PQNNPk1P/1Pb2P2/2B1K2R b K - 0 21,c2b3 e1g1 c5c4 d3e1,2621,90,73,243,castling mate mateIn2 middlegame short,https://lichess.org/jhHmkg8S/black#42,
lKWY3,1k1B3r/5p2/1p4P1/1N6/Pp1pB1qp/4n3/8/R3QRK1 w - - 2 29,g1f2 e3d1 e1d1 g4g3 f2e2 g3e3,2620,98,58,85,exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/12grLrN9#57,
jpDwD,r3kr2/1p1bqpR1/p1n3B1/2pNP2p/5Q2/5P2/PPP4P/2K5 b q - 0 20,e7e5 f4f7 f8f7 g7g8,2619,88,94,1241,attackingF2F7 mate mateIn2 middlegame pin sacrifice short,https://lichess.org/cNK3y9cg/black#40,
oeiS3,2r2rk1/pb3ppp/1p6/3n4/Q2B1P1b/1NP4P/PPq3PN/3R1RK1 w - - 9 21,a4d7 c2g2 g1g2 d5f4 g2g1 f4e2,2616,83,83,279,attraction doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/OmqxMB9T#41,
pPUCC,8/8/2p5/ppNp4/2kPb3/P1P5/1P1K4/8 b - - 3 37,a5a4 b2b3 a4b3 c5b7 b3b2 b7a5,2614,87,94,1033,endgame long mate mateIn3 quietMove,https://lichess.org/zwsmtk0M/black#74,
iKEER,8/p3Q2p/1b4p1/3B1pk1/P7/7P/1r1q4/5R1K b - - 4 33,g5h5 f1f5 g6f5 d5f7 h5h6 e7f6,2612,97,91,1359,endgame long mate mateIn3 sacrifice,https://lichess.org/6FAGw4rL/black#66,
GBqDv,7r/pBppr1p1/1p5p/3R4/2k5/2P5/PPK1nPPP/7R b - - 4 23,c7c6 h1d1 c6d5 b2b3 c4c5 d1d5,2612,86,77,414,endgame long mate mateIn3 quietMove sacrifice,https://lichess.org/YdDpLQW0/black#46,
c7CDE,6k1/1b6/p3p1N1/8/6Pq/2NQ1nK1/P6P/4R3 w - - 3 34,g3f4 h4h6 g4g5 h6g5,2610,90,90,802,mate mateIn2 middlegame short,https://lichess.org/EmTIubqy#67,
X5gpp,4rb1k/6p1/3pB1PR/3q4/r7/Pp2QP2/1P6/1K5R b - - 0 33,g7h6 g6g7 f8g7 h1h6 g7h6 e3h6,2607,99,90,2904,advancedPawn exposedKing intermezzo long mate mateIn3 middlegame sacrifice,https://lichess.org/5NKXHXSf/black#66,
Fk1bM,2r3Q1/2q1k1R1/p2p4/3Pp3/7P/1p6/P7/1K6 b - - 4 33,e7f6 g7f7 c7f7 g8g5,2607,111,91,1735,clearance endgame fork mate mateIn2 sacrifice short,https://lichess.org/W1fl3sTh/black#66,
REC4c,r1b4Q/1pqpkp2/p3pr2/P1P5/6np/2N4N/1P2BP1K/2R3R1 w - - 19 31,h2g2 f6f2 h3f2 c7g3 g2f1 g3f2,2607,80,67,209,long mate mateIn3 middlegame sacrifice,https://lichess.org/YhVsqFEj#61,
5CFck,8/p7/5K1k/np6/4B1P1/8/1p6/8 b - - 1 49,a5c4 e4g6 b5b4 g4g5,2606,87,94,1183,endgame mate mateIn2 quietMove short,https://lichess.org/72wTeslu/black#98,
aAhQT,r3kb2/ppp1p3/2n2p2/3p4/3Pp1b1/2N2Pq1/PPPK4/R1BQ2NB w q - 0 13,f3g4 e4e3 d2d3 c6b4 d3e2 g3f2,2604,85,91,1498,long mate mateIn3 middlegame,https://lichess.org/gEQRBCwU#25,Dutch_Defense Dutch_Defense_Staunton_Gambit
XaYN1,4k3/8/p5Q1/1p1pp3/1n2P3/1Pq2P2/2r4r/3R1KR1 b - - 4 33,e8d7 g6f7 d7c6 g1g6 c6c5 f7a7,2603,104,89,605,exposedKing long mate mateIn3 middlegame,https://lichess.org/O4o0RBiW/black#66,
MpnWl,3k2r1/3n1p1p/3Qn3/1p1pP3/2pP2qN/2P2Np1/1P2B1K1/6R1 w - - 4 31,d6b4 g4h3 g2h3 e6f4,2599,104,86,382,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/j5OAWJCs#61,
rj2cM,2kr4/1pp4p/p2p1q2/8/2PPb3/P3P3/3b1PPP/R2Q1RK1 w - - 0 20,d1d2 f6f3 g2f3 d8g8 g1h1 e4f3,2598,88,93,3711,endgame intermezzo kingsideAttack long mate mateIn3 sacrifice,https://lichess.org/5SUKeNbA#39,
wd4JU,rnbr4/1pp2Qp1/p1k5/8/4B3/B7/P1P3PP/b6K b - - 2 23,c6b6 f7b3 b6a7 b3b7 c8b7 a3c5,2596,86,96,9951,long mate mateIn3 middlegame sacrifice,https://lichess.org/GN12UP04/black#46,
HU1bI,r2Nk2r/ppp3p1/2np4/2b1p3/2B1n3/2NP4/PPP2pP1/R1BQ1RK1 w kq - 0 12,f1f2 c5f2 g1f1 h8h1 f1e2 c6d4,2595,86,92,3315,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/nK1VIHPC#23,Four_Knights_Game Four_Knights_Game_Italian_Variation
FwCDM,4r3/1p3pkp/5Rp1/pb1Pq1N1/4r2P/8/2P2QP1/5RK1 b - - 0 34,b5f1 f6g6 h7g6 f2f7 g7h8 f7h7,2594,90,87,213,discoveredAttack fork long mate mateIn3 middlegame sacrifice,https://lichess.org/iU0NNUat/black#68,
SdLaO,5Q2/p6k/1p2p1B1/6Pp/2r2P1P/2r5/Pq3PK1/8 b - - 0 39,h7g6 f4f5 e6f5 f8g8,2594,99,91,1086,endgame mate mateIn2 short,https://lichess.org/2a6xDm2L/black#78,
avTn8,6k1/3pnpp1/1B1R3p/1B2N3/4nP1K/1N4P1/r5bP/8 w - - 3 31,d6d7 e7f5 h4g4 e4f6 g4f5 g2e4,2593,80,81,241,fork long mate mateIn3 middlegame sacrifice,https://lichess.org/NCInaKQT#61,
zpcuZ,Q7/ppp3pk/7p/4n3/1P2P2b/N1P2q2/P4P1P/R1B1KR2 w Q - 1 19,a8b7 f3d3 c1d2 e5f3 e1d1 d3d2,2593,97,90,231,long mate mateIn3 middlegame,https://lichess.org/CPoPvhdo#37,Bishops_Opening Bishops_Opening_Other_variations
epkv5,r2r3R/1ppbkp2/p4Np1/4Q3/8/q1p5/P4PP1/1K1R4 b - - 5 27,d7e6 h8e8 d8e8 f6d5 e7f8 e5h8,2592,86,93,2949,long mate mateIn3 middlegame sacrifice,https://lichess.org/mG3YCkhP/black#54,
2sGKx,r6r/pp1k2Q1/1q2p3/n2B4/3P4/1PP3P1/3N1P1P/2b3K1 b - - 0 22,d7d6 d2e4 d6d5 e4f6 d5d6 g7d7,2591,80,83,179,long mate mateIn3 middlegame sacrifice,https://lichess.org/2UyH5Ut8/black#44,
rEfQ5,7r/p2r4/PpNp2p1/1PnPpkPp/2P2p1K/5P2/4R3/4R3 b - - 1 51,h8e8 e2e5 d6e5 e1e5 e8e5 c6d4,2591,94,93,1041,endgame long mate mateIn3 sacrifice,https://lichess.org/RQ1xGSVO/black#102,
u4jjF,1r3rk1/4bppp/2pq4/3p2P1/p1p4P/P1P1B3/KPPQ1P2/3R3R w - - 4 21,e3f4 b8b2 a2b2 f8b8 b2a1 d6a3,2589,82,82,181,attraction deflection long mate mateIn3 middlegame sacrifice,https://lichess.org/VUelFq2c#41,
