PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
zaRBK,r2qk1nr/ppp2ppp/3b4/4n3/6b1/3P1N2/PPPNP1PP/R1BQKB1R w KQkq - 3 7,h2h3 d8h4 f3h4 e5d3 c2d3 d6g3,2464,93,92,3309,clearance doubleBishopMate long mate mateIn3 opening sacrifice,https://lichess.org/vPrHrlv5#13,Bird_Opening Bird_Opening_Schlechter_Gambit
vBTXr,r1r3k1/3nbp2/q1n1p2p/3pP1NN/3P4/6Q1/1p1B1PPP/1B1R2K1 b - - 0 24,a6a3 b1h7 g8h8 g5f7 h8h7 g3g7,2464,78,94,497,deflection kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/jrhFmaDY/black#48,
Spzbq,4r3/qpkb4/p2R4/P4p2/1B3Q2/7P/4p1PK/8 b - - 1 47,e2e1q d6c6 c7c6 f4c4 a7c5 c4c5,2464,78,90,2020,attraction doubleCheck long mate mateIn3 middlegame sacrifice,https://lichess.org/sZu9GpUP/black#94,
F0l6l,4q1k1/1Q6/2n3pp/5p2/1p6/2PB4/PPK4R/4r3 w - - 2 44,h2h6 c6d4 c3d4 e8a4 b2b3 a4a2,2463,82,92,2812,clearance endgame long mate mateIn3 sacrifice,https://lichess.org/reQF5yMc#87,
ztWWy,1k6/1pp2Q2/pbpq4/8/PP2P3/2PP2r1/5P1r/R1B2R1K w - - 0 21,h1h2 g3g5 f7f4 d6h6 f4h4 h6h4,2462,81,85,301,discoveredAttack exposedKing long mate mateIn3 middlegame,https://lichess.org/MTcXVVVw#41,
ZsME5,2kr3r/pRn2Npp/1bQ1p3/4Pp2/2P2P2/8/P2q3P/1R5K b - - 0 24,d2e2 b7c7 b6c7 c6e6 d8d7 e6a6,2462,79,90,991,exposedKing long mate mateIn3 middlegame queensideAttack,https://lichess.org/SnYSkl6E/black#48,
O5Pn0,7r/p4pk1/Rb5r/6p1/4R1P1/1P1B1P2/2P3K1/8 w - - 6 36,e4e5 h6h2 g2f1 h2h1 f1e2 h8h2,2462,81,92,5309,endgame long mate mateIn3,https://lichess.org/ukK1wgeE#71,
b7GVV,Q3bk2/R5pp/2B5/8/2p5/2P4n/2q1KPPP/8 w - - 10 32,e2f3 c2d3 f3g4 h7h5 g4h4 g7g5,2461,91,90,1375,endgame exposedKing long mate mateIn3,https://lichess.org/v60WVMgO#63,
VoHQj,7k/3N1rp1/p1np2q1/4p2p/PP2P1Pb/1QPPnP2/3N3P/R1B2RK1 w - - 2 20,d2c4 g6g4 g1h1 g4g2,2461,81,85,479,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/hmf1InOl#39,
ocrxB,1n4k1/rb3Rpp/p3B3/8/4P2q/2p5/PPP3P1/3R2K1 b - - 0 22,b7c8 f7f6 a7f7 d1d8,2461,91,89,1340,discoveredAttack mate mateIn2 middlegame pin short,https://lichess.org/F2xlqVM1/black#44,
dIuDV,5r1k/pQ4p1/3p2qp/5r2/1P1B2n1/2P4n/P2N1PPP/4RRK1 w - - 5 23,g2h3 g4f2 b7g2 g6g2 g1g2 f5g5,2461,103,89,926,discoveredAttack kingsideAttack long mate mateIn3 middlegame,https://lichess.org/YxOnWWJy#45,
Gxq4e,r1bqr1k1/pp1p1p1p/2n3p1/7Q/8/2N1b1B1/PPPN1PPP/R3KB1R w KQ - 0 11,h5f3 e3f2 e1f2 d8b6 f3e3 b6e3,2460,81,83,250,attackingF2F7 attraction doubleCheck long mate mateIn3 opening sacrifice,https://lichess.org/Ygns6T1o#21,Indian_Defense Indian_Defense_Other_variations
aJA1V,R7/5p2/2r1kP2/4P1p1/2p1K2p/2P1B3/8/4b3 b - - 1 57,h4h3 a8a7 c6c7 a7c7 h3h2 c7e7,2460,90,95,690,endgame long master mate mateIn3,https://lichess.org/4CjhHviF/black#114,
otjqu,6k1/pQ3Rp1/5P2/6P1/2Pp2q1/P2P4/P5B1/4r1K1 w - - 0 33,g1f2 g4h4 f2f3 e1e3,2460,93,70,72,endgame master mate mateIn2 short,https://lichess.org/lQqMdlUd#65,
lSLd7,3r1b1r/BpRkpppp/5nb1/8/Nn1N4/3P2P1/PP3PBP/3R2K1 b - - 0 16,d7c7 d4b5 c7d7 a4c5 d7e8 b5c7,2460,84,84,180,long mate mateIn3 middlegame,https://lichess.org/lKOxs55J/black#32,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
Qfw8I,6k1/r2p1pp1/pqnQ3p/8/r4P2/3BR2P/1P4P1/2R4K b - - 1 25,b6e3 d6b8 c6b8 c1c8 e3e8 c8e8,2459,81,93,4830,long mate mateIn3 middlegame sacrifice,https://lichess.org/Mi6clAoO/black#50,
QZkDJ,r1b1k2r/3npNb1/p1pp2Q1/q6p/2PP2nB/4P2R/PpB1KPP1/R7 b kq - 1 17,b2a1q f7g5 e8d8 g5e6,2458,76,91,2919,discoveredAttack mate mateIn2 middlegame short,https://lichess.org/1JDXIEpj/black#34,Queens_Pawn_Game Queens_Pawn_Game_Anglo-Slav_Opening
puDQl,r2q3r/3b2Qp/p1np4/3Bp2R/6k1/p7/PPP2P2/R3K3 b Q - 3 26,g4h5 d5f7 h5h4 g7g3,2457,80,80,225,mate mateIn2 middlegame short,https://lichess.org/CxrWLFkV/black#52,
uIVjh,r1b2rk1/1pq2p1p/5P2/p1p4Q/3p4/7P/B1n2PP1/R3R1K1 b - - 0 25,c7f4 h5f7 f8f7 e1e8,2457,77,93,3595,kingsideAttack mate mateIn2 middlegame pin sacrifice short,https://lichess.org/lVePl9s8/black#50,
TUUdZ,3rrk2/1pp1n1p1/pb2R1Np/8/3n4/PB6/1PPB1PPP/2K1R3 b - - 9 23,e7g6 e6f6 g7f6 d2h6,2457,110,89,802,deflection mate mateIn2 middlegame sacrifice short,https://lichess.org/92pmfYuc/black#46,
lC4t5,2kr3r/ppp2pQp/5n2/2b1p2b/2BqP3/3P4/PPP3PP/RNB1KR2 w Q - 1 12,g7f6 d4e4 e1d2 c5b4 c2c3 e4e2,2457,83,97,481,exposedKing long mate mateIn3 middlegame pin,https://lichess.org/aNgjCAIJ#23,Kings_Gambit Kings_Gambit_Other_variations
0Le3t,5rk1/5ppp/p1pb4/1p6/3Pr3/1BP1NbPq/PP1Q1P1P/R3R1K1 w - - 6 22,b3d1 h3h2 g1h2 e4h4 h2g1 h4h1,2457,79,95,1702,attraction kingsideAttack long mate mateIn3 middlegame pin sacrifice,https://lichess.org/IRVXQgp5#43,
bB1sv,8/p5pp/bp3k2/3p4/3R4/P5PB/1Pr2r1P/4R1K1 b - - 3 28,f2h2 e1e6 f6f7 d4f4 f7g8 e6e8,2457,79,82,280,endgame exposedKing long mate mateIn3,https://lichess.org/MkbAk6Uo/black#56,
eipzQ,1r6/pp2R1b1/3N1ppk/7p/P4PP1/7P/1r6/4R1K1 b - - 0 30,g7f8 g4g5 f6g5 d6f5 g6f5 e1e6,2456,78,89,466,endgame long mate mateIn3 sacrifice,https://lichess.org/NQZWQVSs/black#60,
gcDrx,r1q2k2/p1pbppbR/8/1p4Q1/3P4/2P1P1P1/P4PP1/4K3 b - - 0 22,g7f6 g5h5 d7e6 h7h8 f8g7 h5h6,2456,79,91,1341,endgame long mate mateIn3,https://lichess.org/mf0z0aQc/black#44,
TlNj1,4r1k1/1pp2p2/p6p/3P1qp1/PPBR4/1QNn4/5PPP/6K1 w - - 1 25,c3e4 f5f2 e4f2 e8e1,2456,78,93,4138,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/H89Vz1gg#49,
B4WM4,r7/p2Q4/bp2p3/k2pP3/2pR4/K1P5/PP3q1P/8 b - - 1 31,f2f8 b2b4 c4b3 d4b4 b3b2 d7a4,2455,79,91,2196,endgame long mate mateIn3,https://lichess.org/gX9n95Ls/black#62,
aR6J3,8/pb2Q1k1/1p3p2/2p1p3/2P1q2n/2P1B2P/P3B1P1/6K1 b - - 3 30,g7g6 e2h5 g6h5 e7f7 e4g6 g2g4,2455,80,93,3404,attraction endgame long mate mateIn3 sacrifice,https://lichess.org/F9HpYpSb/black#60,
PvO2m,2R2R2/pppqk1p1/2n1rp2/2Q5/8/1P4P1/PKP1r3/8 b - - 3 28,d7d6 f8f7 e7f7 c5h5 g7g6 h5h7,2454,76,95,3048,attraction long mate mateIn3 middlegame pin sacrifice,https://lichess.org/wdXS113Z/black#56,
aSV13,r4rk1/pp5p/3p1npR/2pqp1N1/1b3B2/4P3/2Q1KP2/7R b - - 1 24,e5f4 c2g6 g8h8 h6h7 f6h7 h1h7,2454,85,92,872,kingsideAttack long mate mateIn3 middlegame,https://lichess.org/46aKmUje/black#48,
wRVe6,r1b3nr/pppkq2p/1bnp4/4p1BQ/2BPP3/2P5/PP3PPP/RN3RK1 b - - 0 11,e7g7 c4e6 d7e6 h5e8 c6e7 d4d5,2454,89,90,261,attraction long mate mateIn3 opening sacrifice,https://lichess.org/6WW5bfko/black#22,Italian_Game Italian_Game_Classical_Variation
6AJMs,rnQ1kb1r/p4ppp/2p1pn2/3p4/2PP1B2/4PN2/qP3PPP/3K1B1R b kq - 1 10,e8e7 f4d6 e7d6 c8d8 f6d7 c4c5,2454,77,94,2497,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/mqRtjEHS/black#20,Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
dXpVe,7k/5p1p/4p3/Q3P2p/2B2PK1/8/7q/8 w - - 0 28,g4g5 h8g7 c4e6 h7h6 g5f5 h2c2,2454,84,90,661,endgame long mate mateIn3,https://lichess.org/a9LdLXuz#55,
JibAa,r1b2rk1/pp3ppp/2p1p3/q7/2nRNQ2/8/PPP3PP/2K2R2 b - - 1 19,a5a2 f4f7 f8f7 d4d8 f7f8 f1f8,2454,84,92,1907,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/LzLFiToo/black#38,Blackmar-Diemer_Gambit Blackmar-Diemer_Gambit_Ryder_Gambit
IjVNo,2r4k/1Q4pp/1b1B2q1/r3P1P1/7P/1P6/P7/1K1R1R2 w - - 3 33,b1a1 c8c1 d1c1 b6d4 c1c3 d4c3,2454,79,92,2630,long mate mateIn3 middlegame sacrifice,https://lichess.org/l4cVLQXn#65,
Mpk9Y,8/1b1R2k1/p7/1p2r1N1/1bp4p/5P1P/2B3P1/6K1 b - - 1 42,g7f6 d7f7 f6g5 f3f4 g5h6 f7h7,2454,80,94,3599,endgame exposedKing fork long mate mateIn3 sacrifice,https://lichess.org/J3P9HyFZ/black#84,
t0g40,4r1k1/p1b4p/6p1/2p2p2/P2pN2q/3Q1P1b/1P3P1P/RBB3K1 w - - 0 28,c1g5 h4g5 e4g5 e8e1 d3f1 e1f1,2454,89,89,251,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/YnaF2lyb#55,
V3dfL,2r3k1/p4ppp/3K1q2/8/R1B5/1P6/3BQ2P/8 w - - 7 35,d6d5 c8d8 d5e4 d8d4 e4e3 f6f4,2454,97,90,739,endgame long mate mateIn3,https://lichess.org/qJ04IyFk#69,
IUxVe,3b3r/6p1/2B1Ppp1/q1kQ4/6PP/4P3/pP2KP2/8 b - - 3 34,c5b4 d5d4 b4b3 c6a4 a5a4 d4c3,2453,89,88,235,endgame long mate mateIn3 sacrifice,https://lichess.org/PI5yWthF/black#68,
OfTdR,1n6/1QBqb3/p5k1/6p1/K1P4p/3r1N2/P3RPPP/8 w - - 9 35,a4a5 d7a4 a5b6 e7c5 b6c5 b8d7,2452,86,91,206,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/BY6ixq74#69,
jLwxY,8/p1p5/1pk5/2b1p3/2Q4P/6PB/P1Pr1r2/4R1K1 w - - 12 43,e1e5 f2g2 g1f1 g2g1,2452,101,90,2216,doubleCheck endgame mate mateIn2 short,https://lichess.org/TcO2Azx0#85,
P3PLz,5k2/5pp1/p3p2p/3bP3/1p1N3B/1Pq4P/P2RQPPK/2r5 w - - 6 36,d2c2 c1h1 h2h1 c3h3 h1g1 h3g2,2452,97,89,800,attraction deflection long mate mateIn3 middlegame pin sacrifice,https://lichess.org/S8HP2NzU#71,
v1VzK,4r1k1/1p4np/p2Q2p1/q1nN2r1/8/8/PPP3PP/1K1R1R2 b - - 1 23,c5e4 d6f8 e8f8 d5e7 g8h8 f1f8,2451,81,92,4056,backRankMate deflection long mate mateIn3 middlegame sacrifice,https://lichess.org/Y6R1Levv/black#46,
NnUWW,8/1p2pp1R/4nkp1/3r2P1/5P2/1bP1K1P1/p7/7R b - - 0 31,f6f5 g3g4 f5g4 h1g1 g4f5 h7f7,2451,83,90,4052,attraction endgame long mate mateIn3,https://lichess.org/L89HMGEc/black#62,
AWT51,3k4/pQ1Pq3/1b6/4n3/7r/K1N5/2P1N3/3R4 w - - 1 34,a3b2 e5c4 b2a1 e7a3 c3a2 a3b2,2451,88,89,217,long mate mateIn3 middlegame,https://lichess.org/XEZvOkW5#67,
OvocR,3r3r/pp2bpk1/4qN2/6pP/1p1B3P/5R2/P1Q2P2/6RK b - - 0 32,d8d4 c2h7 h8h7 g1g5 g7h8 g5g8,2451,84,96,7966,arabianMate long mate mateIn3 middlegame pin sacrifice,https://lichess.org/BMuYR4HB/black#64,
4Wp6B,4r1k1/1b4p1/p3p1r1/1p1n3p/1P1BB3/P5Pq/4QP1P/4RRK1 w - - 6 28,e4g6 h3g2 g1g2 d5f4 g2g1 f4h3,2450,76,93,2875,attraction doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/OpcQpmsg#55,
Af0sQ,7k/1p6/p2bB2p/3P2r1/P3p2r/PR3pP1/5P2/1R4K1 w - - 0 37,b3b7 g5g3 f2g3 d6c5 g1f1 h4h1,2450,80,91,2228,endgame long mate mateIn3 sacrifice,https://lichess.org/FqhKNJWk#73,
SeBHG,1r3k1r/2p2Bpp/p2p4/1pb1p1Nn/4PnNq/2PP4/PP3P2/R1BQR1K1 w - - 5 19,f7h5 h4g3 g1f1 g3g2,2450,90,90,1017,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/0Hx3NOpj#37,Ruy_Lopez Ruy_Lopez_Berlin_Defense
I0zf5,3r2k1/4R1pp/8/2n1Np2/1pP1b3/rN2P2P/PK3PP1/R7 w - - 1 29,f2f3 a3b3 a2b3 d8d2 b2c1 c5b3,2450,81,97,738,deflection long mate mateIn3 middlegame sacrifice,https://lichess.org/GfQQkPWz#57,
vDA26,6k1/1Q1N1b1p/2Pp2p1/2p1pp2/2P5/r1KBq3/1R5P/8 w - - 2 32,b2b3 e3c1 d3c2 c1e1 c3b2 e1a1,2450,77,94,3759,long mate mateIn3 middlegame,https://lichess.org/2Xsn0ZjH#63,
9DSWZ,8/1p5k/5bp1/Pqp2p2/3P1P2/4K1Pp/3Q1B1P/8 w - - 0 49,d4c5 b5e8 e3d3 e8e4,2450,91,90,2212,endgame mate mateIn2 short,https://lichess.org/4no2eCfz#97,
7vrYk,5rk1/p1p2pp1/2Bp1q2/4bN2/8/7Q/PrP4P/6RK b - - 5 29,b2c2 g1g7 f6g7 f5e7,2449,81,93,3403,mate mateIn2 middlegame sacrifice short,https://lichess.org/Lp1ioicS/black#58,
FpT8O,rq2kb1r/pp1Q1ppp/4p1n1/4PbB1/2N5/5N2/PP2BPPP/2R2RK1 b kq - 0 14,e8d7 c4b6 a7b6 e2b5,2449,79,89,1571,clearance mate mateIn2 middlegame sacrifice short,https://lichess.org/WW1lUrTk/black#28,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
ou2g1,6k1/p2n2pp/1p2p3/3pP3/3rqpR1/Q7/P5PP/2R3K1 b - - 1 33,d4a4 c1c8 g8f7 a3e7 f7e7 g4g7,2449,96,89,801,attraction deflection endgame long mate mateIn3 sacrifice,https://lichess.org/RVZQe9KI/black#66,
W5S9Y,r2qr3/1pp2B1k/p2p1bRB/7n/3nP3/2N2P2/PPPQ3P/2K5 b - - 0 18,d4f3 h6f8 f6g5 g6h6 g5h6 d2h6,2449,76,93,2313,clearance exposedKing long mate mateIn3 middlegame sacrifice xRayAttack,https://lichess.org/gJ8gtrQn/black#36,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
8Q5I0,8/8/k1K5/2B4p/1P5P/8/8/4b3 b - - 0 47,e1h4 c5b6 h4e1 b4b5,2449,106,89,818,bishopEndgame endgame mate mateIn2 quietMove short,https://lichess.org/b9ulT5Za/black#94,
erezw,3Q4/8/3p1k1p/pPpPb1pP/P1P1p3/6P1/7K/4q3 b - - 5 43,f6f5 d8c8 f5f6 c8f8,2448,76,90,702,endgame mate mateIn2 short,https://lichess.org/bGHreQaI/black#86,
QDxiR,r1b2b1N/pppn2pp/4kn2/3N2BQ/3Pp3/1B6/PPP1KP1P/q7 b - - 0 14,f6h5 d5e7 e6d6 h8f7,2448,80,96,618,discoveredAttack mate mateIn2 middlegame short,https://lichess.org/Zwb0Mq2o/black#28,Elephant_Gambit Elephant_Gambit_Wasp_Variation
YRhlL,r6k/ppp1Nr2/4Qp1p/4P1P1/3q4/P2Bn3/2P3P1/R5K1 w - - 7 27,e6f7 e3g4 g1h1 d4a1 d3f1 a1f1,2448,88,89,571,discoveredAttack long mate mateIn3 middlegame,https://lichess.org/RCdvXEY5#53,
1gY1u,2k5/Qp5p/8/5p2/2p1p3/P1P2rqP/1P6/RN2RK2 w - - 3 25,f1e2 f3f2 e2d1 g3d3 d1c1 f2c2,2447,103,88,656,endgame exposedKing long mate mateIn3,https://lichess.org/h85PWt1v#49,
GYBlr,r3kb1r/ppqn3p/2p4n/4p1Bb/2B1P3/1QP2N1P/PP4P1/R4RK1 b kq - 4 15,h5f3 c4f7 h6f7 b3e6 f8e7 e6e7,2447,97,89,350,clearance exposedKing long mate mateIn3 middlegame sacrifice,https://lichess.org/nGScj8Ab/black#30,Bishops_Opening Bishops_Opening_Other_variations
OtF6W,r1b3k1/1pN5/2n1q1P1/pB6/3P1B1N/3Q2KP/PPP3P1/R3q2r w - - 0 25,a1e1 e6e1 g3f3 h1f1 d3f1 c6d4,2447,83,91,437,deflection long mate mateIn3 middlegame,https://lichess.org/kR68QZe0#49,
NKGXy,2k5/Bp3pb1/BQppb1p1/6q1/4P3/6R1/PPPn1P1r/R4K2 w - - 7 29,f1g1 g5g3 f2g3 d2f3 g1f1 e6h3,2447,76,93,2939,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/sdk348o0#57,
vgbrp,1k6/ppr2pp1/8/4B3/4K3/1Q4P1/PPPrq1B1/R4R2 w - - 8 32,b3e3 e2g4 e3f4 f7f5 e4e3 g4e2,2447,106,88,1348,long mate mateIn3 middlegame pin,https://lichess.org/armPw2L6#63,
qyy7R,8/4R2p/3Q2pk/3P1q2/5r2/8/PPr3PP/4R1K1 w - - 3 30,d6e6 c2g2 g1g2 f4g4 g2h3 f5f3,2446,81,93,6284,attraction endgame long mate mateIn3 sacrifice,https://lichess.org/A37wMMBU#59,
sblfK,r4rk1/1p2qppp/2n1p1b1/pP2P3/n1P2P2/KN6/6PP/2BRQBR1 w - - 1 25,a3a4 e7b4 e1b4 a5b4 b3a5 g6c2,2446,96,88,701,discoveredAttack long mate mateIn3 middlegame pin,https://lichess.org/mi9GJydS#49,
Xbm9i,8/p5P1/8/8/2Bk2P1/1P1b1K2/8/4q3 w - - 0 44,g7g8q d3e4 f3f4 e1e3,2446,79,92,3601,endgame mate mateIn2 short,https://lichess.org/9qQetMQb#87,
DO81Y,4Q3/3r1pkp/6p1/1r1q4/5BP1/8/P4P1P/b3R1K1 b - - 0 26,b5b2 e8f8 g7f8 f4h6 f8g8 e1e8,2446,88,90,1180,attraction long mate mateIn3 middlegame sacrifice,https://lichess.org/ihs7ApcE/black#52,
WgdTs,8/p4pk1/6pn/2B3K1/1P2NP2/3r4/8/6R1 w - - 2 41,g1g3 d3d5 f4f5 d5f5 g5h4 f5h5,2446,81,84,351,endgame long mate mateIn3,https://lichess.org/L3XDhe6W#81,
qmpb7,r1b2k1N/ppp2Bpp/5q2/4p3/3nQ3/1P4b1/P1PP2PP/RNB2K1R w - - 1 13,e4f3 f6f3 g2f3 c8h3 f1g1 d4f3,2446,81,93,1776,intermezzo long mate mateIn3 middlegame,https://lichess.org/bm2fD0vU#25,Italian_Game Italian_Game_Two_Knights_Defense
7drZ8,8/4r1kp/b4bp1/8/2P2p2/PP2rP2/R1Q3PP/2R3K1 w - - 5 36,c4c5 e3e1 c1e1 e7e1 g1f2 e1f1,2445,80,90,1237,long mate mateIn3 middlegame,https://lichess.org/ooQvp68N#71,
2gLOF,r1b4Q/pppk4/8/3pPp2/2PP1q2/6R1/PP5K/8 b - - 11 36,d7c6 h8e8 c8d7 e8g6 d7e6 g6e6,2445,103,90,92,endgame long mate mateIn3,https://lichess.org/tDttwRPY/black#72,
gTsWH,r3r3/pB3ppp/3p4/5Pb1/2k5/P1NR4/1PK2P1P/8 b - - 2 32,a8b8 b2b3 c4c5 c3a4 c5b5 d3d5,2445,110,88,391,endgame long mate mateIn3,https://lichess.org/891sTzr5/black#64,
